"age_range","datetime","gender","involved_person","legislation","location__latitude","location__longitude","location__street__id","location__street__name","object_of_search","officer_defined_ethnicity","operation","operation_name","outcome","outcome_linked_to_object_of_search","outcome_object__id","outcome_object__name","removal_of_more_than_outer_clothing","self_defined_ethnicity","type"
"18-24","2018-06-06T12:20:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.631569","-1.124283","1489803","Leicester (Station)","Controlled drugs","White","null","null","Summons / charged by post","True","bu-summons","Summons / charged by post","False","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"over 34","2018-06-28T10:00:00+00:00","Male","True","Police and Criminal Evidence Act 1984 (section 1)","52.631569","-1.124283","1489803","Leicester (Station)","Stolen goods","White","null","null","A no further action disposal","True","bu-no-further-action","A no further action disposal","False","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"25-34","2018-06-03T12:00:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.636256","-1.125933","883316","On or near Wimbledon Street","Controlled drugs","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"over 34","2018-06-03T12:00:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.636256","-1.125933","883316","On or near Wimbledon Street","Controlled drugs","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"over 34","2018-06-09T00:16:00+00:00","Male","True","Police and Criminal Evidence Act 1984 (section 1)","52.620362","-1.117490","882501","On or near B568","Article for use in theft","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - Any other White background","Person search"
"over 34","2018-06-04T07:30:00+00:00","Male","True","Police and Criminal Evidence Act 1984 (section 1)","52.632073","-1.126829","883364","On or near Granby Street","Stolen goods","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"over 34","2018-06-08T13:40:00+00:00","Male","True","Police and Criminal Evidence Act 1984 (section 1)","52.636250","-1.133691","883415","On or near Shopping Area","Offensive weapons","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"25-34","2018-06-08T23:00:00+00:00","Male","True","Police and Criminal Evidence Act 1984 (section 1)","52.621591","-1.113536","882481","On or near Cedars Court","Controlled drugs","White","null","null","Arrest","null","bu-arrest","Arrest","null","Other ethnic group - Not stated","Person search"
"null","2018-06-08T23:45:00+00:00","Male","True","Firearms Act 1968 (section 47)","52.641553","-1.121290","884331","On or near Chester Close","Firearms","White","null","null","Arrest","null","bu-arrest","Arrest","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"18-24","2018-06-10T12:50:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.633614","-1.144603","883474","On or near St Augustine Road","Controlled drugs","White","null","null","Arrest","null","bu-arrest","Arrest","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"null","2018-06-10T14:49:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.634407","-1.133653","883407","On or near Shopping Area","Controlled drugs","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"null","2018-06-10T14:49:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.634407","-1.133653","883407","On or near Shopping Area","Controlled drugs","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"10-17","2018-06-10T15:00:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.633414","-1.131841","876793","On or near Bishop Street","Controlled drugs","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"null","2018-06-11T20:05:00+00:00","Male","True","Police and Criminal Evidence Act 1984 (section 1)","52.627979","-1.120277","883199","On or near Victoria Avenue","Offensive weapons","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"null","2018-06-10T14:49:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.634407","-1.133653","883407","On or near Shopping Area","Controlled drugs","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"18-24","2018-06-04T07:35:00+00:00","Male","True","Police and Criminal Evidence Act 1984 (section 1)","52.633145","-1.129511","883365","On or near Granby Street","Stolen goods","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"18-24","2018-06-05T16:00:00+00:00","Female","True","Misuse of Drugs Act 1971 (section 23)","52.637600","-1.135171","883324","On or near St Peters Lane","Controlled drugs","White","null","null","A no further action disposal","null","bu-no-further-action","A no further action disposal","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
"over 34","2018-06-07T15:25:00+00:00","Male","True","Misuse of Drugs Act 1971 (section 23)","52.635062","-1.132222","883289","On or near Gallowtree Gate","Controlled drugs","White","null","null","Community resolution","null","bu-community-resolution","Community resolution","null","White - English/Welsh/Scottish/Northern Irish/British","Person search"
